year,count_method,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,light_goods_vehicles,heavy_goods_vehicles,all_motor_vehicles,count_point_id
2021,Estimated using AADF from previous year on this link,96,61,8045,99,1409,81,9695,6786
2020,Manual count,118,57,7303,96,1293,76,8824,6786
2019,Estimated using AADF from previous year on this link,34,63,8508,206,828,142,9746,6786
2018,Estimated using AADF from previous year on this link,31,67,8403,203,835,143,9651,6786
2017,Estimated using AADF from previous year on this link,28,68,8496,224,820,142,9750,6786
2016,Estimated using AADF from previous year on this link,29,67,8559,240,779,142,9788,6786
2015,Estimated using AADF from previous year on this link,31,69,8428,259,713,139,9608,6786
2014,Estimated using AADF from previous year on this link,34,78,8264,241,680,145,9408,6786
2013,Estimated using AADF from previous year on this link,35,82,8046,250,636,141,9155,6786
2012,Manual count,35,73,8118,239,612,139,9181,6786
2011,Estimated using AADF from previous year on this link,53,104,8627,177,1508,174,10590,6786
2010,Estimated using AADF from previous year on this link,48,124,8653,188,1351,170,10486,6786
2009,Estimated using AADF from previous year on this link,48,130,8705,166,1265,161,10427,6786
2008,Estimated using AADF from previous year on this link,48,116,8517,168,1247,172,10220,6786
2007,Estimated using AADF from previous year on this link,43,121,8709,193,1221,172,10416,6786
2006,Estimated using AADF from previous year on this link,68,126,8851,212,1160,187,10536,6786
2005,Estimated using AADF from previous year on this link,43,146,9023,228,1143,197,10737,6786
2004,Manual count,51,177,9458,242,1072,191,11140,6786
2003,Estimated using AADF from previous year on this link,112,232,11035,191,1646,266,13370,6786
2002,Estimated using AADF from previous year on this link,125,163,11459,196,1516,271,13605,6786
2001,Estimated using AADF from previous year on this link,120,157,11279,194,1414,282,13326,6786
2000,Estimated using AADF from previous year on this link,125,150,11640,185,1404,295,13674,6786
2024,Manual count,76,187,14497,30,1368,72,16155,6787
2023,Estimated using AADF from previous year on this link,102,72,11846,84,1400,133,13535,6787
2022,Estimated using AADF from previous year on this link,104,73,11628,83,1377,135,13295,6787
2021,Estimated using AADF from previous year on this link,116,67,10886,77,1270,130,12431,6787
2020,Estimated using AADF from previous year on this link,143,63,9881,75,1165,121,11306,6787
2019,Estimated using AADF from previous year on this link,125,85,13009,118,1320,138,14671,6787
2018,Estimated using AADF from previous year on this link,114,91,12848,117,1332,139,14526,6787
2017,Estimated using AADF from previous year on this link,103,92,12991,129,1308,138,14657,6787
2016,Manual count,107,91,13087,138,1242,138,14696,6787
2015,Estimated using AADF from previous year on this link,98,119,15353,189,1898,213,17771,6787
2014,Estimated using AADF from previous year on this link,105,135,15055,175,1810,219,17393,6787
2013,Estimated using AADF from previous year on this link,108,141,14657,182,1692,211,16883,6787
2012,Estimated using AADF from previous year on this link,110,126,14788,174,1628,205,16921,6787
2011,Estimated using AADF from previous year on this link,116,132,15022,160,1609,201,17124,6787
2010,Estimated using AADF from previous year on this link,106,157,15067,170,1442,196,17032,6787
2009,Estimated using AADF from previous year on this link,106,165,15158,150,1350,188,17011,6787
2008,Estimated using AADF from previous year on this link,106,148,14832,152,1330,200,16662,6787
2007,Manual count,94,155,15166,174,1302,195,16992,6787
2006,Estimated using AADF from previous year on this link,146,111,14692,178,1491,177,16649,6787
2005,Manual count,93,127,14976,192,1469,186,16950,6787
2004,Estimated using AADF from previous year on this link,153,130,14341,158,1499,182,16310,6787
2003,Manual count,188,198,14158,193,1362,152,16063,6787
2002,Estimated using AADF from previous year on this link,85,88,15832,286,1340,201,17747,6787
2001,Manual count,81,85,15583,284,1250,213,17415,6787
2000,Estimated using AADF from previous year on this link,88,116,15153,282,1467,121,17139,6787
2024,Estimated using AADF from previous year on this link,79,104,14259,306,2382,350,17400,6789
2023,Estimated using AADF from previous year on this link,79,101,14046,305,2340,353,17144,6789
2022,Estimated using AADF from previous year on this link,80,102,13787,302,2301,358,16850,6789
2021,Estimated using AADF from previous year on this link,89,93,12908,281,2122,344,15749,6789
2020,Estimated using AADF from previous year on this link,109,88,11716,272,1947,320,14343,6789
2019,Estimated using AADF from previous year on this link,96,119,15424,431,2206,363,18543,6789
2018,Estimated using AADF from previous year on this link,87,127,15233,426,2226,362,18375,6789
2017,Manual count,79,129,15403,470,2185,361,18547,6789
2016,Estimated using AADF from previous year on this link,69,141,12245,659,2699,293,16036,6789
2015,Estimated using AADF from previous year on this link,74,144,12057,711,2471,288,15671,6789
2014,Estimated using AADF from previous year on this link,80,163,11823,660,2356,300,15302,6789
2013,Estimated using AADF from previous year on this link,82,170,11510,685,2203,293,14863,6789
2012,Estimated using AADF from previous year on this link,83,153,11613,656,2120,287,14829,6789
2011,Estimated using AADF from previous year on this link,88,160,11797,603,2095,284,14939,6789
2010,Estimated using AADF from previous year on this link,80,189,11833,638,1877,275,14812,6789
2009,Manual count,80,199,11904,563,1758,266,14690,6789
2008,Estimated using AADF from previous year on this link,54,197,15213,506,2357,368,18641,6789
2007,Estimated using AADF from previous year on this link,48,206,15556,583,2308,367,19020,6789
2006,Estimated using AADF from previous year on this link,77,258,16163,679,2194,428,19722,6789
2005,Estimated using AADF from previous year on this link,49,248,16114,689,2160,424,19635,6789
2004,Manual count,58,245,16528,701,2105,445,20024,6789
2003,Estimated using AADF from previous year on this link,128,391,16227,368,2450,448,19884,6789
2002,Estimated using AADF from previous year on this link,144,349,16457,412,2248,418,19884,6789
2001,Estimated using AADF from previous year on this link,139,345,16490,403,2244,428,19910,6789
2000,Estimated using AADF from previous year on this link,145,333,16167,396,2253,433,19582,6789
2024,Estimated using AADF from previous year on this link,61,180,14017,102,2723,435,17456,6791
2023,Estimated using AADF from previous year on this link,61,174,13808,102,2675,438,17196,6791
2022,Estimated using AADF from previous year on this link,62,177,13553,101,2630,446,16906,6791
2021,Estimated using AADF from previous year on this link,69,162,12689,94,2426,430,15801,6791
2020,Manual count,84,153,11517,91,2226,400,14387,6791
2019,Estimated using AADF from previous year on this link,76,122,13517,53,2693,757,17142,6791
2018,Estimated using AADF from previous year on this link,69,130,13350,52,2717,758,17007,6791
2017,Estimated using AADF from previous year on this link,62,131,13498,58,2667,753,17107,6791
2016,Estimated using AADF from previous year on this link,65,130,13599,62,2533,749,17073,6791
2015,Manual count,70,133,13390,67,2319,737,16646,6791
2014,Estimated using AADF from previous year on this link,43,176,13711,126,3121,770,17904,6791
2013,Estimated using AADF from previous year on this link,44,184,13349,131,2918,752,17334,6791
2012,Estimated using AADF from previous year on this link,44,165,13468,125,2808,732,17298,6791
2011,Estimated using AADF from previous year on this link,47,173,13681,115,2775,725,17469,6791
2010,Estimated using AADF from previous year on this link,42,204,13722,122,2487,698,17233,6791
2009,Estimated using AADF from previous year on this link,42,215,13805,107,2329,683,17139,6791
2008,Estimated using AADF from previous year on this link,42,193,13508,109,2295,740,16845,6791
2007,Estimated using AADF from previous year on this link,37,202,13812,125,2248,745,17132,6791
2006,Manual count,59,211,14036,138,2135,804,17324,6791
2005,Estimated using AADF from previous year on this link,40,103,14159,134,2733,1125,18254,6791
2004,Estimated using AADF from previous year on this link,47,126,14842,142,2563,1092,18765,6791
2003,Estimated using AADF from previous year on this link,58,191,14651,175,2328,931,18276,6791
2002,Manual count,65,134,15214,179,2144,950,18621,6791
2001,Estimated using AADF from previous year on this link,54,226,12833,177,2370,886,16492,6791
2000,Manual count,57,216,13243,169,2354,950,16932,6791
2024,Manual count,18,187,18632,75,4131,1175,24200,6792
2023,Estimated using AADF from previous year on this link,16,172,15494,32,3970,1208,20877,6792
2022,Estimated using AADF from previous year on this link,16,185,15120,33,3893,1246,20477,6792
2021,Estimated using AADF from previous year on this link,17,167,14087,31,3495,1210,18990,6792
2020,Manual count,22,161,12882,26,3052,1130,17251,6792
2019,Estimated using AADF from previous year on this link,15,137,19201,66,3585,1178,24166,6792
2018,Estimated using AADF from previous year on this link,13,127,19158,67,3597,1172,24122,6792
2017,Manual count,13,130,19250,71,3435,1154,24041,6792
2016,Estimated using AADF from previous year on this link,23,164,21146,84,4276,2040,27709,6792
2015,Estimated using AADF from previous year on this link,23,164,20887,85,3959,1968,27063,6792
2014,Manual count,23,158,20275,86,3562,1849,25930,6792
2013,Estimated using AADF from previous year on this link,21,147,17075,95,3047,1290,21654,6792
2012,Estimated using AADF from previous year on this link,21,139,17282,92,2870,1250,21633,6792
2011,Estimated using AADF from previous year on this link,23,143,17407,91,2756,1239,21636,6792
2010,Manual count,26,145,17513,90,2694,1251,21693,6792
2009,Estimated using AADF from previous year on this link,42,177,17523,77,3110,1054,21941,6792
2008,Manual count,36,169,17754,74,3011,1133,22141,6792
2007,Manual count,43,115,15227,131,2586,1114,19173,6792
2006,Manual count,24,111,13900,192,2099,941,17243,6792
2005,Manual count,8,87,15326,129,2457,1176,19175,6792
2004,Manual count,16,179,14991,147,2239,1192,18748,6792
2003,Manual count,14,102,14611,149,2249,1123,18234,6792
2002,Manual count,4,80,12884,135,2124,1117,16340,6792
2001,Manual count,11,169,13728,125,1860,1301,17183,6792
2000,Estimated using AADF from previous year on this link,12,204,12638,154,2041,864,15901,6792
2022,Manual count,17,115,9169,55,1874,751,11964,6794
2021,Estimated using AADF from previous year on this link,13,48,7120,37,1748,716,9669,6794
2020,Estimated using AADF from previous year on this link,18,46,6511,31,1527,667,8782,6794
2019,Estimated using AADF from previous year on this link,14,62,8916,49,1784,745,11555,6794
2018,Manual count,12,58,8896,49,1790,739,11532,6794
2017,Estimated using AADF from previous year on this link,8,78,9850,60,2329,843,13160,6794
2016,Estimated using AADF from previous year on this link,8,80,9862,61,2201,823,13027,6794
2015,Estimated using AADF from previous year on this link,8,80,9741,62,2038,802,12723,6794
2014,Manual count,8,84,9857,61,1904,780,12686,6794
2013,Estimated using AADF from previous year on this link,6,66,8996,59,1999,556,11676,6794
2012,Estimated using AADF from previous year on this link,7,66,9166,64,1862,560,11717,6794
2011,Estimated using AADF from previous year on this link,7,71,9430,65,1775,564,11905,6794
2010,Manual count,8,65,9402,63,1677,557,11764,6794
2009,Estimated using AADF from previous year on this link,10,178,8779,160,2179,738,12034,6794
2008,Estimated using AADF from previous year on this link,9,170,8886,160,2139,817,12172,6794
2007,Estimated using AADF from previous year on this link,9,171,9227,145,2139,854,12536,6794
2006,Manual count,9,171,9474,135,1940,795,12515,6794
2005,Estimated using AADF from previous year on this link,3,144,9542,126,2124,627,12563,6794
2004,Estimated using AADF from previous year on this link,3,156,9551,126,2023,653,12509,6794
2003,Estimated using AADF from previous year on this link,3,151,9542,146,2007,638,12484,6794
2002,Manual count,3,123,9457,140,1781,654,12155,6794
2001,Estimated using AADF from previous year on this link,10,143,8029,121,1479,661,10433,6794
2000,Manual count,12,129,8005,123,1430,673,10360,6794
2024,Estimated using AADF from previous year on this link,138,267,18652,258,4273,1210,24659,6797
2023,Estimated using AADF from previous year on this link,124,255,18762,255,4249,1223,24743,6797
2022,Estimated using AADF from previous year on this link,121,251,18801,253,4175,1246,24726,6797
2021,Manual count,118,218,18304,250,3845,1189,23807,6797
2020,Estimated using AADF from previous year on this link,72,175,12982,193,2899,729,16977,6797
2019,Estimated using AADF from previous year on this link,58,229,17125,231,3326,839,21751,6797
2018,Estimated using AADF from previous year on this link,62,217,17081,233,3327,841,21699,6797
2017,Estimated using AADF from previous year on this link,63,216,17096,242,3261,869,21683,6797
2016,Manual count,65,208,17101,252,3288,897,21746,6797
2015,Estimated using AADF from previous year on this link,36,216,18845,230,3168,942,23401,6797
2014,Estimated using AADF from previous year on this link,32,228,18909,240,3045,945,23367,6797
2013,Estimated using AADF from previous year on this link,28,220,18854,250,2946,979,23249,6797
2012,Estimated using AADF from previous year on this link,35,225,18692,271,2874,915,22976,6797
2011,Manual count,40,207,19055,275,2943,823,23303,6797
2010,Estimated using AADF from previous year on this link,189,275,19799,413,2506,1125,24118,6797
2009,Estimated using AADF from previous year on this link,195,293,20348,389,2534,1137,24701,6797
2008,Estimated using AADF from previous year on this link,180,311,20512,369,2602,1220,25014,6797
2007,Estimated using AADF from previous year on this link,153,319,20995,363,2658,1245,25580,6797
2006,Estimated using AADF from previous year on this link,119,325,21315,361,2601,1105,25707,6797
2005,Estimated using AADF from previous year on this link,96,299,20931,344,2623,1119,25316,6797
2004,Estimated using AADF from previous year on this link,94,325,21163,322,2569,1153,25532,6797
2003,Estimated using AADF from previous year on this link,109,341,20912,283,2713,1049,25298,6797
2002,Manual count,75,329,21339,245,2464,1121,25498,6797
2001,Estimated using AADF from previous year on this link,72,343,21339,225,2415,1201,25523,6797
2000,Estimated using AADF from previous year on this link,65,317,21318,211,2408,1258,25512,6797
2024,Estimated using AADF from previous year on this link,151,160,9803,128,1396,208,11696,6800
2023,Estimated using AADF from previous year on this link,135,153,9861,127,1389,210,11740,6800
2022,Estimated using AADF from previous year on this link,131,151,9882,126,1364,213,11737,6800
2021,Estimated using AADF from previous year on this link,128,131,9621,124,1257,202,11335,6800
2020,Estimated using AADF from previous year on this link,144,115,8918,123,1179,190,10524,6800
2019,Estimated using AADF from previous year on this link,116,151,11764,148,1352,220,13635,6800
2018,Manual count,124,143,11733,149,1353,219,13597,6800
2017,Estimated using AADF from previous year on this link,59,114,10043,97,1267,280,11800,6800
2016,Estimated using AADF from previous year on this link,60,110,10046,101,1278,286,11820,6800
2015,Estimated using AADF from previous year on this link,58,102,10258,95,1239,281,11975,6800
2014,Estimated using AADF from previous year on this link,51,108,10292,99,1191,281,11972,6800
2013,Estimated using AADF from previous year on this link,45,104,10263,104,1152,301,11923,6800
2012,Estimated using AADF from previous year on this link,55,107,10174,112,1124,291,11808,6800
2011,Estimated using AADF from previous year on this link,64,98,10372,114,1151,271,12006,6800
2010,Estimated using AADF from previous year on this link,64,98,10404,110,1157,265,12034,6800
2009,Estimated using AADF from previous year on this link,66,104,10693,103,1170,263,12333,6800
2008,Manual count,61,110,10779,98,1201,282,12470,6800
2007,Estimated using AADF from previous year on this link,209,207,13631,143,1714,378,16073,6800
2006,Manual count,163,211,13838,143,1677,341,16210,6800
2005,Manual count,53,205,12722,94,1244,480,14745,6800
2004,Estimated using AADF from previous year on this link,114,282,10338,75,1544,410,12649,6800
2003,Manual count,284,282,9054,75,1401,363,11175,6800
2002,Estimated using AADF from previous year on this link,205,258,13198,58,1261,500,15275,6800
2001,Estimated using AADF from previous year on this link,200,269,13198,57,1237,533,15294,6800
2000,Estimated using AADF from previous year on this link,185,250,13182,56,1237,564,15289,6800
2024,Estimated using AADF from previous year on this link,800,842,10363,1466,1325,220,14216,6801
2023,Manual count,716,806,10424,1452,1318,221,14220,6801
2022,Estimated using AADF from previous year on this link,352,685,11055,922,2195,781,15637,6801
2021,Estimated using AADF from previous year on this link,344,594,10763,910,2022,745,15034,6801
2020,Estimated using AADF from previous year on this link,385,521,9976,903,1896,694,13990,6801
2019,Estimated using AADF from previous year on this link,311,683,13160,1083,2175,809,17911,6801
2018,Estimated using AADF from previous year on this link,332,648,13126,1090,2176,801,17841,6801
2017,Estimated using AADF from previous year on this link,336,643,13138,1133,2133,870,17915,6801
2016,Estimated using AADF from previous year on this link,344,620,13142,1180,2151,936,18028,6801
2015,Manual count,332,578,13419,1116,2085,824,18021,6801
2014,Estimated using AADF from previous year on this link,305,292,11332,1380,1841,385,15230,6801
2013,Estimated using AADF from previous year on this link,271,281,11300,1438,1781,414,15214,6801
2012,Estimated using AADF from previous year on this link,331,288,11202,1559,1737,400,15187,6801
2011,Estimated using AADF from previous year on this link,383,265,11420,1582,1779,374,15420,6801
2010,Estimated using AADF from previous year on this link,385,267,11455,1533,1788,370,15413,6801
2009,Estimated using AADF from previous year on this link,398,285,11773,1443,1808,362,15671,6801
2008,Estimated using AADF from previous year on this link,367,301,11868,1368,1856,386,15779,6801
2007,Estimated using AADF from previous year on this link,313,308,12148,1346,1897,389,16088,6801
2006,Manual count,243,315,12333,1340,1855,346,16189,6801
2005,Estimated using AADF from previous year on this link,447,298,18364,1654,1544,457,22317,6801
2004,Estimated using AADF from previous year on this link,439,324,18569,1548,1512,479,22432,6801
2003,Estimated using AADF from previous year on this link,508,339,18348,1355,1596,433,22071,6801
2002,Manual count,350,328,18723,1176,1450,475,22152,6801
2001,Estimated using AADF from previous year on this link,414,486,16800,1006,2086,261,20639,6801
2000,Estimated using AADF from previous year on this link,377,450,16783,940,2080,271,20524,6801
2024,Manual count,559,772,16878,819,2690,231,21390,6802
2023,Estimated using AADF from previous year on this link,314,604,20124,892,4582,652,26852,6802
2022,Estimated using AADF from previous year on this link,307,595,20166,884,4502,660,26807,6802
2021,Estimated using AADF from previous year on this link,299,516,19633,874,4147,623,25793,6802
2020,Manual count,335,452,18198,866,3890,586,23992,6802
2019,Estimated using AADF from previous year on this link,164,243,14295,685,2496,302,18021,6802
2018,Estimated using AADF from previous year on this link,175,230,14258,689,2497,305,17980,6802
2017,Estimated using AADF from previous year on this link,177,229,14270,716,2447,309,17971,6802
2016,Estimated using AADF from previous year on this link,181,221,14275,746,2467,317,18026,6802
2015,Estimated using AADF from previous year on this link,175,206,14576,706,2392,314,18193,6802
2014,Estimated using AADF from previous year on this link,153,217,14625,736,2299,315,18193,6802
2013,Estimated using AADF from previous year on this link,136,210,14583,767,2224,341,18125,6802
2012,Manual count,166,215,14457,832,2170,332,18005,6802
2011,Estimated using AADF from previous year on this link,203,389,18783,823,1931,557,22483,6802
2010,Estimated using AADF from previous year on this link,205,391,18839,798,1940,549,22517,6802
2009,Estimated using AADF from previous year on this link,211,417,19362,750,1962,550,23041,6802
2008,Manual count,195,441,19518,711,2015,588,23273,6802
2007,Manual count,177,305,17212,938,3103,875,22433,6802
2006,Manual count,452,522,21178,1141,3930,765,27536,6802
2005,Manual count,445,411,22286,1006,2580,809,27092,6802
2004,Manual count,198,403,18095,1421,2183,522,22624,6802
2003,Manual count,372,351,20117,901,2528,866,24763,6802
2002,Manual count,300,385,20857,1096,2093,887,25318,6802
2001,Manual count,305,353,24063,1039,2516,633,28604,6802
2000,Manual count,253,293,18856,1144,2291,577,23161,6802
2024,Estimated using AADF from previous year on this link,245,956,26884,255,5139,902,34135,6804
2023,Manual count,219,915,27042,252,5110,908,34227,6804
2022,Estimated using AADF from previous year on this link,223,1063,26733,228,5534,1105,34664,6804
2021,Manual count,217,922,26026,225,5098,1042,33314,6804
2020,Estimated using AADF from previous year on this link,175,554,24615,327,5035,608,31140,6804
2019,Manual count,142,728,32471,392,5776,700,40067,6804
2018,Estimated using AADF from previous year on this link,172,703,34228,243,6691,717,42582,6804
2017,Estimated using AADF from previous year on this link,174,697,34258,252,6557,742,42508,6804
2016,Manual count,178,673,34269,263,6612,765,42582,6804
2015,Estimated using AADF from previous year on this link,331,460,31384,315,5264,1276,38699,6804
2014,Estimated using AADF from previous year on this link,288,486,31490,328,5060,1279,38642,6804
2013,Manual count,257,469,31399,342,4895,1358,38463,6804
2012,Estimated using AADF from previous year on this link,78,566,23819,243,4261,1529,30419,6804
2011,Estimated using AADF from previous year on this link,90,521,24282,247,4364,1429,30843,6804
2010,Estimated using AADF from previous year on this link,90,523,24355,240,4385,1411,30914,6804
2009,Manual count,93,557,25031,226,4433,1385,31632,6804
2008,Estimated using AADF from previous year on this link,153,558,28536,370,4573,1337,35374,6804
2007,Manual count,131,572,29209,363,4672,1358,36174,6804
2006,Estimated using AADF from previous year on this link,157,649,33708,474,5706,1489,42026,6804
2005,Estimated using AADF from previous year on this link,127,596,33101,452,5755,1501,41405,6804
2004,Estimated using AADF from previous year on this link,124,649,33468,423,5636,1568,41744,6804
2003,Manual count,144,679,33072,371,5952,1417,41491,6804
2002,Estimated using AADF from previous year on this link,109,752,29680,384,5381,910,37107,6804
2001,Manual count,105,786,29680,352,5276,976,37070,6804
2000,Estimated using AADF from previous year on this link,61,294,33926,427,4228,1336,40211,6804
2024,Automatic counter,116,276,12788,768,2940,327,17099,6805
2023,Automatic counter,104,274,13416,794,3049,344,17877,6805
2022,Automatic counter,101,269,13390,785,2984,348,17777,6805
2021,Automatic counter,99,232,12935,770,2727,328,16991,6805
2020,Automatic counter,111,215,12712,809,2713,327,16776,6805
2019,Automatic counter,89,243,14401,834,2672,322,18472,6805
2018,Automatic counter,100,242,15097,882,2810,340,19370,6805
2017,Automatic counter,102,242,15256,925,2780,354,19557,6805
2016,Estimated using AADF from previous year on this link,110,245,15927,1004,2926,382,20483,6805
2015,Manual count,106,228,16263,949,2837,367,20643,6805
2014,Estimated using AADF from previous year on this link,122,327,16431,998,2920,589,21265,6805
2013,Estimated using AADF from previous year on this link,108,315,16384,1040,2825,629,21192,6805
2012,Estimated using AADF from previous year on this link,132,323,16242,1127,2756,605,21053,6805
2011,Estimated using AADF from previous year on this link,153,297,16558,1144,2822,562,21383,6805
2010,Estimated using AADF from previous year on this link,154,299,16607,1108,2836,553,21403,6805
2009,Estimated using AADF from previous year on this link,159,318,17067,1042,2867,553,21847,6805
2008,Manual count,130,163,8480,504,1256,340,10743,6805
2007,Manual count,126,346,17609,972,3007,606,22540,6805
2006,Manual count,235,452,17498,927,3214,769,22860,6805
2005,Manual count,85,393,17757,827,2430,761,22168,6805
2004,Manual count,56,222,18532,747,2942,848,23291,6805
2003,Manual count,93,461,17542,827,2166,938,21934,6805
2002,Estimated using AADF from previous year on this link,93,464,19271,870,2920,675,24200,6805
2001,Manual count,90,485,19271,798,2863,726,24143,6805
2000,Estimated using AADF from previous year on this link,102,412,15769,603,2210,745,19739,6805
2024,Manual count,213,574,9544,244,1574,141,12077,6807
2023,Estimated using AADF from previous year on this link,259,319,9410,229,1773,220,11951,6807
2022,Estimated using AADF from previous year on this link,252,315,9430,227,1742,224,11937,6807
2021,Estimated using AADF from previous year on this link,247,273,9181,224,1604,212,11495,6807
2020,Estimated using AADF from previous year on this link,276,239,8510,222,1505,199,10675,6807
2019,Estimated using AADF from previous year on this link,223,314,11226,266,1726,231,13764,6807
2018,Estimated using AADF from previous year on this link,238,298,11197,268,1727,230,13720,6807
2017,Estimated using AADF from previous year on this link,241,295,11207,279,1692,240,13713,6807
2016,Manual count,247,285,11210,290,1707,249,13741,6807
2015,Estimated using AADF from previous year on this link,162,252,10559,168,1654,325,12958,6807
2014,Estimated using AADF from previous year on this link,142,266,10595,175,1589,325,12951,6807
2013,Estimated using AADF from previous year on this link,126,257,10564,183,1538,348,12890,6807
2012,Estimated using AADF from previous year on this link,154,263,10473,198,1500,338,12772,6807
2011,Estimated using AADF from previous year on this link,178,242,10677,201,1536,316,12972,6807
2010,Estimated using AADF from previous year on this link,179,244,10709,195,1544,312,13004,6807
2009,Estimated using AADF from previous year on this link,185,260,11006,183,1561,305,13315,6807
2008,Estimated using AADF from previous year on this link,171,275,11095,174,1603,327,13474,6807
2007,Manual count,146,282,11356,171,1637,332,13778,6807
2006,Estimated using AADF from previous year on this link,118,345,12385,141,1695,410,14976,6807
2005,Manual count,95,317,12162,134,1709,417,14739,6807
2004,Estimated using AADF from previous year on this link,111,274,14095,173,1291,459,16292,6807
2003,Manual count,129,287,13928,151,1364,418,16148,6807
2002,Estimated using AADF from previous year on this link,123,340,13019,118,1625,333,15435,6807
2001,Manual count,118,355,13019,108,1593,359,15434,6807
2000,Estimated using AADF from previous year on this link,192,277,15055,91,1437,215,17075,6807
2021,Estimated using AADF from previous year on this link,115,170,8847,38,1893,229,11177,6816
2020,Estimated using AADF from previous year on this link,153,164,8091,32,1653,211,10151,6816
2019,Estimated using AADF from previous year on this link,120,221,11079,50,1931,236,13518,6816
2018,Manual count,99,206,11055,51,1937,235,13484,6816
2017,Estimated using AADF from previous year on this link,126,148,11473,52,2295,279,14246,6816
2016,Estimated using AADF from previous year on this link,126,152,11486,54,2168,270,14131,6816
2015,Estimated using AADF from previous year on this link,126,152,11346,54,2008,254,13814,6816
2014,Manual count,127,159,11481,53,1876,250,13820,6816
2013,Estimated using AADF from previous year on this link,78,83,10782,44,1895,332,13135,6816
2012,Estimated using AADF from previous year on this link,78,82,10985,48,1765,326,13206,6816
2011,Estimated using AADF from previous year on this link,84,89,11302,49,1682,316,13438,6816
2010,Manual count,96,81,11269,47,1590,305,13292,6816
2009,Estimated using AADF from previous year on this link,121,160,11577,56,1876,301,13970,6816
2008,Manual count,105,153,11730,54,1816,320,14073,6816
2007,Estimated using AADF from previous year on this link,94,135,11259,64,1927,350,13735,6816
2006,Manual count,94,135,11559,59,1747,319,13819,6816
2005,Estimated using AADF from previous year on this link,91,98,11467,100,1574,334,13573,6816
2004,Manual count,88,107,11479,100,1499,338,13523,6816
2003,Estimated using AADF from previous year on this link,61,169,11231,98,1421,363,13282,6816
2002,Manual count,73,138,11131,94,1261,369,12993,6816
2001,Estimated using AADF from previous year on this link,85,149,11878,74,1519,305,13925,6816
2000,Manual count,97,134,11843,76,1469,305,13827,6816
2024,Manual count,1,247,34276,57,10413,5823,50816,6817
2023,Manual count,1,159,36801,63,9879,5496,52397,6817
2022,Manual count,0,215,30713,48,7808,5629,44413,6817
2021,Manual count,4,285,32132,68,11013,6032,49530,6817
2020,Manual count,1,329,39600,39,13211,6341,59519,6817
2019,Manual count,1,287,38091,53,9189,6136,53756,6817
2018,Estimated using AADF from previous year on this link,4,187,36283,31,10660,5683,52845,6817
2017,Estimated using AADF from previous year on this link,4,178,36407,32,10181,5608,52406,6817
2016,Estimated using AADF from previous year on this link,4,177,36422,31,9556,5414,51600,6817
2015,Manual count,4,170,35364,31,8849,5210,49624,6817
2014,Estimated using AADF from previous year on this link,1,133,35682,53,7289,4607,47764,6817
2013,Manual count,1,129,34878,47,6791,4591,46437,6817
2012,Estimated using AADF from previous year on this link,0,312,34929,20,6634,4550,46446,6817
2011,Manual count,0,321,35182,20,6371,4485,46379,6817
2010,Estimated using AADF from previous year on this link,9,440,30273,81,6376,4412,41582,6817
2009,Estimated using AADF from previous year on this link,9,497,31017,76,6215,4415,42220,6817
2008,Manual count,8,475,31426,73,6016,4742,42732,6817
2007,Estimated using AADF from previous year on this link,3,393,32541,209,8189,4477,45809,6817
2006,Manual count,3,391,32770,221,7391,4436,45209,6817
2005,Manual count,2,370,30616,149,6873,4415,42423,6817
2004,Estimated using AADF from previous year on this link,1,418,28923,165,6926,4292,40724,6817
2003,Estimated using AADF from previous year on this link,1,412,28439,199,6223,4174,39447,6817
2002,Manual count,1,379,27827,201,5621,4131,38159,6817
2001,Manual count,6,361,27716,226,6257,4746,39306,6817
2000,Manual count,7,229,26745,208,5485,4387,37054,6817
2024,Manual count,0,67,8377,25,2450,246,11164,6819
2023,Estimated using AADF from previous year on this link,4,71,7219,24,2189,350,9854,6819
2022,Estimated using AADF from previous year on this link,4,77,7044,24,2147,357,9649,6819
2021,Estimated using AADF from previous year on this link,4,69,6563,23,1927,346,8929,6819
2020,Estimated using AADF from previous year on this link,5,67,6002,19,1683,321,8092,6819
2019,Estimated using AADF from previous year on this link,4,90,8219,30,1966,359,10664,6819
2018,Estimated using AADF from previous year on this link,4,84,8201,30,1973,357,10645,6819
2017,Estimated using AADF from previous year on this link,4,86,8240,32,1884,351,10592,6819
2016,Manual count,4,88,8250,33,1780,341,10493,6819
2015,Estimated using AADF from previous year on this link,3,86,6528,87,2511,358,9571,6819
2014,Estimated using AADF from previous year on this link,3,90,6606,85,2346,348,9476,6819
2013,Estimated using AADF from previous year on this link,4,88,6515,83,2183,339,9208,6819
2012,Estimated using AADF from previous year on this link,4,87,6637,91,2033,338,9186,6819
2011,Estimated using AADF from previous year on this link,4,94,6829,92,1938,337,9290,6819
2010,Estimated using AADF from previous year on this link,4,86,6809,88,1832,331,9146,6819
2009,Estimated using AADF from previous year on this link,4,97,6940,85,1781,326,9229,6819
2008,Estimated using AADF from previous year on this link,4,93,7024,85,1748,358,9308,6819
2007,Manual count,4,93,7293,77,1748,375,9586,6819
2006,Estimated using AADF from previous year on this link,2,33,7296,38,1415,330,9112,6819
2005,Manual count,2,39,7098,40,1349,330,8856,6819
